File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture1-8-1.png,"(569, 124)","(632, 123)","(633, 185)","(570, 185)",0
picture1-8-2.png,"(570, 185)","(633, 185)","(634, 245)","(570, 246)",0
picture1-8-3.png,"(570, 246)","(634, 245)","(635, 307)","(571, 307)",1
picture1-8-4.png,"(571, 307)","(635, 307)","(636, 368)","(572, 369)",1
picture1-8-5.png,"(572, 369)","(636, 368)","(637, 430)","(573, 432)",1
picture1-8-6.png,"(573, 432)","(637, 430)","(638, 493)","(573, 494)",1
picture1-8-7.png,"(573, 494)","(638, 493)","(639, 557)","(574, 558)",0
picture1-8-8.png,"(574, 558)","(639, 557)","(640, 621)","(574, 622)",1
picture1-8-9.png,"(574, 622)","(640, 621)","(642, 686)","(574, 687)",0
picture1-8-10.png,"(574, 687)","(642, 686)","(642, 752)","(575, 751)",1
picture1-8-11.png,"(575, 751)","(642, 752)","(643, 818)","(577, 819)",1
picture1-8-12.png,"(577, 819)","(643, 818)","(645, 887)","(578, 886)",1
picture1-8-13.png,"(578, 886)","(645, 887)","(646, 956)","(578, 955)",1
picture1-8-14.png,"(578, 955)","(646, 956)","(649, 1025)","(579, 1024)",0
picture1-8-15.png,"(579, 1024)","(649, 1025)","(651, 1096)","(580, 1095)",0
picture1-8-16.png,"(580, 1095)","(651, 1096)","(651, 1168)","(581, 1166)",0
picture1-8-17.png,"(581, 1166)","(651, 1168)","(654, 1242)","(584, 1240)",0
picture1-8-18.png,"(584, 1240)","(654, 1242)","(655, 1315)","(584, 1313)",0
picture1-9-0.png,"(631, 66)","(694, 65)","(695, 123)","(632, 123)",0
picture1-9-1.png,"(632, 123)","(695, 123)","(696, 183)","(633, 185)",0
picture1-9-2.png,"(633, 185)","(696, 183)","(697, 244)","(634, 245)",0
picture1-9-3.png,"(634, 245)","(697, 244)","(699, 305)","(635, 307)",0
picture1-9-4.png,"(635, 307)","(699, 305)","(701, 366)","(636, 368)",0
picture1-9-5.png,"(636, 368)","(701, 366)","(702, 428)","(637, 430)",0
picture1-9-6.png,"(637, 430)","(702, 428)","(704, 491)","(638, 493)",0
picture1-9-7.png,"(638, 493)","(704, 491)","(705, 555)","(639, 557)",0
picture1-9-8.png,"(639, 557)","(705, 555)","(708, 619)","(640, 621)",0
picture1-9-9.png,"(640, 621)","(708, 619)","(708, 685)","(642, 686)",0
picture1-9-10.png,"(642, 686)","(708, 685)","(711, 752)","(642, 752)",0
picture1-9-11.png,"(642, 752)","(711, 752)","(712, 819)","(643, 818)",0
picture1-9-12.png,"(643, 818)","(712, 819)","(714, 887)","(645, 887)",0
picture1-9-13.png,"(645, 887)","(714, 887)","(715, 956)","(646, 956)",0
picture1-9-14.png,"(646, 956)","(715, 956)","(717, 1026)","(649, 1025)",0
picture1-9-15.png,"(649, 1025)","(717, 1026)","(719, 1097)","(651, 1096)",0
picture1-9-16.png,"(651, 1096)","(719, 1097)","(722, 1170)","(651, 1168)",0
picture1-9-17.png,"(651, 1168)","(722, 1170)","(723, 1244)","(654, 1242)",0
picture1-9-18.png,"(654, 1242)","(723, 1244)","(725, 1315)","(655, 1315)",0
picture1-10-0.png,"(694, 65)","(757, 63)","(758, 121)","(695, 123)",0
picture1-10-1.png,"(695, 123)","(758, 121)","(761, 181)","(696, 183)",0
picture1-10-2.png,"(696, 183)","(761, 181)","(762, 240)","(697, 244)",0
picture1-10-3.png,"(697, 244)","(762, 240)","(764, 302)","(699, 305)",0
picture1-10-4.png,"(699, 305)","(764, 302)","(766, 364)","(701, 366)",0
picture1-10-5.png,"(701, 366)","(766, 364)","(768, 426)","(702, 428)",0
picture1-10-6.png,"(702, 428)","(768, 426)","(771, 489)","(704, 491)",0
picture1-10-7.png,"(704, 491)","(771, 489)","(773, 552)","(705, 555)",0
picture1-10-8.png,"(705, 555)","(773, 552)","(776, 618)","(708, 619)",0
picture1-10-9.png,"(708, 619)","(776, 618)","(777, 684)","(708, 685)",0
picture1-10-10.png,"(708, 685)","(777, 684)","(779, 751)","(711, 752)",0
picture1-10-11.png,"(711, 752)","(779, 751)","(781, 819)","(712, 819)",0
picture1-10-12.png,"(712, 819)","(781, 819)","(784, 887)","(714, 887)",0
picture1-10-13.png,"(714, 887)","(784, 887)","(785, 957)","(715, 956)",0
picture1-10-14.png,"(715, 956)","(785, 957)","(787, 1026)","(717, 1026)",0
picture1-10-15.png,"(717, 1026)","(787, 1026)","(791, 1099)","(719, 1097)",0
picture1-10-16.png,"(719, 1097)","(791, 1099)","(793, 1172)","(722, 1170)",0
picture1-10-17.png,"(722, 1170)","(793, 1172)","(796, 1245)","(723, 1244)",0
picture1-10-18.png,"(723, 1244)","(796, 1245)","(796, 1315)","(725, 1315)",0
picture1-11-0.png,"(757, 63)","(820, 61)","(823, 119)","(758, 121)",0
picture1-11-1.png,"(758, 121)","(823, 119)","(825, 178)","(761, 181)",0
picture1-11-2.png,"(761, 181)","(825, 178)","(828, 238)","(762, 240)",0
picture1-11-3.png,"(762, 240)","(828, 238)","(830, 298)","(764, 302)",0
picture1-11-4.png,"(764, 302)","(830, 298)","(833, 362)","(766, 364)",0
picture1-11-5.png,"(766, 364)","(833, 362)","(835, 424)","(768, 426)",0
picture1-11-6.png,"(768, 426)","(835, 424)","(838, 487)","(771, 489)",0
picture1-11-7.png,"(771, 489)","(838, 487)","(841, 551)","(773, 552)",0
picture1-11-8.png,"(773, 552)","(841, 551)","(844, 615)","(776, 618)",0
picture1-11-9.png,"(776, 618)","(844, 615)","(847, 682)","(777, 684)",0
picture1-11-10.png,"(777, 684)","(847, 682)","(849, 751)","(779, 751)",0
picture1-11-11.png,"(779, 751)","(849, 751)","(851, 819)","(781, 819)",0
picture1-11-12.png,"(781, 819)","(851, 819)","(853, 887)","(784, 887)",0
picture1-11-13.png,"(784, 887)","(853, 887)","(856, 957)","(785, 957)",0
picture1-11-14.png,"(785, 957)","(856, 957)","(858, 1027)","(787, 1026)",0
picture1-11-15.png,"(787, 1026)","(858, 1027)","(862, 1100)","(791, 1099)",0
picture1-11-16.png,"(791, 1099)","(862, 1100)","(865, 1174)","(793, 1172)",0
picture1-11-17.png,"(793, 1172)","(865, 1174)","(867, 1245)","(796, 1245)",0
picture1-11-18.png,"(796, 1245)","(867, 1245)","(866, 1314)","(796, 1315)",0
picture1-12-0.png,"(820, 61)","(882, 63)","(888, 117)","(823, 119)",0
picture1-12-1.png,"(823, 119)","(888, 117)","(890, 176)","(825, 178)",0
picture1-12-2.png,"(825, 178)","(890, 176)","(894, 237)","(828, 238)",0
picture1-12-3.png,"(828, 238)","(894, 237)","(898, 297)","(830, 298)",0
picture1-12-4.png,"(830, 298)","(898, 297)","(899, 361)","(833, 362)",0
picture1-12-5.png,"(833, 362)","(899, 361)","(902, 421)","(835, 424)",0
picture1-12-6.png,"(835, 424)","(902, 421)","(905, 483)","(838, 487)",0
picture1-12-7.png,"(838, 487)","(905, 483)","(909, 548)","(841, 551)",0
picture1-12-8.png,"(841, 551)","(909, 548)","(913, 617)","(844, 615)",0
picture1-12-9.png,"(844, 615)","(913, 617)","(916, 684)","(847, 682)",0
picture1-12-10.png,"(847, 682)","(916, 684)","(919, 752)","(849, 751)",0
picture1-12-11.png,"(849, 751)","(919, 752)","(921, 820)","(851, 819)",0
picture1-12-12.png,"(851, 819)","(921, 820)","(924, 886)","(853, 887)",0
picture1-12-13.png,"(853, 887)","(924, 886)","(928, 958)","(856, 957)",0
picture1-12-14.png,"(856, 957)","(928, 958)","(930, 1028)","(858, 1027)",0
picture1-12-15.png,"(858, 1027)","(930, 1028)","(934, 1100)","(862, 1100)",0
picture1-12-16.png,"(862, 1100)","(934, 1100)","(936, 1172)","(865, 1174)",0
picture1-12-17.png,"(865, 1174)","(936, 1172)","(936, 1246)","(867, 1245)",0
picture1-12-18.png,"(867, 1245)","(936, 1246)","(935, 1309)","(866, 1314)",0
picture2-0-0.png,"(63, 27)","(130, 27)","(128, 91)","(62, 91)",0
picture2-0-1.png,"(62, 91)","(128, 91)","(127, 155)","(61, 156)",0
picture2-0-2.png,"(61, 156)","(127, 155)","(127, 220)","(60, 221)",0
picture2-0-3.png,"(60, 221)","(127, 220)","(126, 286)","(59, 286)",0
picture2-0-4.png,"(59, 286)","(126, 286)","(126, 352)","(58, 353)",0
picture2-0-5.png,"(58, 353)","(126, 352)","(126, 421)","(57, 420)",0
picture2-0-6.png,"(57, 420)","(126, 421)","(125, 486)","(55, 485)",0
picture2-0-7.png,"(55, 485)","(125, 486)","(125, 554)","(55, 552)",0
picture2-0-8.png,"(55, 552)","(125, 554)","(126, 622)","(55, 623)",0
picture2-0-9.png,"(55, 623)","(126, 622)","(124, 691)","(54, 692)",0
picture2-0-10.png,"(54, 692)","(124, 691)","(124, 759)","(54, 761)",0
picture2-0-11.png,"(54, 761)","(124, 759)","(122, 829)","(53, 831)",0
picture2-0-12.png,"(53, 831)","(122, 829)","(121, 900)","(51, 902)",0
picture2-0-13.png,"(51, 902)","(121, 900)","(119, 971)","(50, 969)",0
picture2-0-14.png,"(50, 969)","(119, 971)","(118, 1043)","(48, 1045)",0
picture2-0-15.png,"(48, 1045)","(118, 1043)","(117, 1116)","(47, 1118)",0
picture2-0-16.png,"(47, 1118)","(117, 1116)","(117, 1188)","(47, 1189)",0
picture2-0-17.png,"(47, 1189)","(117, 1188)","(117, 1261)","(46, 1259)",0
picture2-0-18.png,"(46, 1259)","(117, 1261)","(117, 1333)","(48, 1328)",0
picture2-1-0.png,"(130, 27)","(197, 27)","(195, 91)","(128, 91)",0
picture2-1-1.png,"(128, 91)","(195, 91)","(195, 155)","(127, 155)",0
picture2-1-2.png,"(127, 155)","(195, 155)","(195, 221)","(127, 220)",0
picture2-1-3.png,"(127, 220)","(195, 221)","(195, 287)","(126, 286)",0
picture2-1-4.png,"(126, 286)","(195, 287)","(195, 354)","(126, 352)",0
picture2-1-5.png,"(126, 352)","(195, 354)","(195, 420)","(126, 421)",0
picture2-1-6.png,"(126, 421)","(195, 420)","(195, 489)","(125, 486)",0
picture2-1-7.png,"(125, 486)","(195, 489)","(194, 554)","(125, 554)",0
picture2-1-8.png,"(125, 554)","(194, 554)","(195, 621)","(126, 622)",0
picture2-1-9.png,"(126, 622)","(195, 621)","(195, 690)","(124, 691)",0
picture2-1-10.png,"(124, 691)","(195, 690)","(195, 758)","(124, 759)",0
picture2-1-11.png,"(124, 759)","(195, 758)","(192, 828)","(122, 829)",0
picture2-1-12.png,"(122, 829)","(192, 828)","(192, 898)","(121, 900)",0
picture2-1-13.png,"(121, 900)","(192, 898)","(191, 969)","(119, 971)",0
picture2-1-14.png,"(119, 971)","(191, 969)","(190, 1042)","(118, 1043)",0
picture2-1-15.png,"(118, 1043)","(190, 1042)","(189, 1115)","(117, 1116)",0
picture2-1-16.png,"(117, 1116)","(189, 1115)","(188, 1187)","(117, 1188)",0
picture2-1-17.png,"(117, 1188)","(188, 1187)","(189, 1261)","(117, 1261)",0
picture2-1-18.png,"(117, 1261)","(189, 1261)","(190, 1332)","(117, 1333)",0
picture2-2-0.png,"(197, 27)","(263, 27)","(262, 91)","(195, 91)",0
picture2-2-1.png,"(195, 91)","(262, 91)","(262, 156)","(195, 155)",0
picture2-2-2.png,"(195, 155)","(262, 156)","(262, 222)","(195, 221)",0
picture2-2-3.png,"(195, 221)","(262, 222)","(263, 287)","(195, 287)",1
picture2-2-4.png,"(195, 287)","(263, 287)","(263, 354)","(195, 354)",1
picture2-2-5.png,"(195, 354)","(263, 354)","(263, 420)","(195, 420)",1
picture2-2-6.png,"(195, 420)","(263, 420)","(263, 487)","(195, 489)",1
picture2-2-7.png,"(195, 489)","(263, 487)","(264, 553)","(194, 554)",0
